PRICE,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,EXPIRY DATE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
24000.00,"2,061",-937,"6,748",29.28,630.4,-13.55,375,630.55,631.5,450,14-Aug-25,-,-,0.05,"60,000",-2.1,0.05,15.71,"15,26,209","-61,589","1,17,366"
24000.00,"4,075",833,"3,948",9.37,665,-29.75,150,665.2,667,75,21-Aug-25,"1,125",15.75,15.9,525,0.1,15.85,13.78,"1,52,302","19,451","49,638"
24000.00,"10,446",-73,"2,488",7.66,712,-35.4,150,711.65,715,525,28-Aug-25,150,39.25,39.5,450,2.45,39,13.09,"60,903","-3,723","51,066"
24000.00,88,-6,54,9.62,761,-27.9,150,748.2,761,75,2-Sep-25,75,54.65,55.75,300,1.35,54.35,12.87,"1,502",243,"1,147"
24000.00,10,-,1,10.63,830,97.8,75,785.2,"1,143.50",900,9-Sep-25,300,74.15,78.85,75,2.95,76,12.82,113,4,112
24000.00,"9,490",33,983,7.55,946.95,-27.6,150,939.6,947,75,30-Sep-25,225,136.45,137,300,5.9,136.05,13.23,"10,613",57,"30,903"
24000.00,601,4,37,5.15,"1,109.90",-51.45,150,"1,107.25","1,124.95",375,28-Oct-25,225,195.5,198.4,225,3.65,193.5,13.62,"1,872",417,"2,881"
24000.00,"13,451",1,622,-,"1,475.00",-24.95,75,"1,470.00","1,479.40",75,30-Dec-25,150,303,305,"2,625",11.7,303,14.58,"4,312",-910,"43,549"
24000.00,194,8,63,-,"1,920.00",-7.95,75,"1,900.05","1,941.40",75,31-Mar-26,75,400.25,405,75,8.15,401.25,15.51,280,52,"2,803"
24000.00,49,-,-,-,"2,311.05",-,75,"2,320.05","2,887.05",75,30-Jun-26,75,445.2,494.85,75,-0.8,493.95,16.62,2,-2,602
24000.00,66,1,1,-,"3,204.90",5.9,75,"3,151.00","3,210.65",75,29-Dec-26,75,652.15,670,75,6.85,668.95,18.83,14,3,499
24000.00,9,-,-,-,"3,800.00",-,75,"3,200.00","4,000.00",75,29-Jun-27,-,-,-,-,-,-,-,-,-,-
24000.00,-,-,-,-,-,-,-,-,-,-,28-Dec-27,75,780.15,-,-,-,910,-,-,-,16
24000.00,-,-,-,-,-,-,-,-,-,-,26-Dec-28,75,601.4,-,-,-,950,-,-,-,21
24000.00,-,-,-,-,-,-,-,-,-,-,26-Jun-29,-,-,-,-,-,694.05,-,-,-,0
24000.00,-,-,-,-,-,-,-,-,-,-,25-Jun-30,75,431.35,-,-,-,-,-,-,-,-
23000.00,96,-99,209,68.03,"1,631.85",-4.85,150,"1,630.60","1,633.25",150,14-Aug-25,-,-,0.05,525,-0.7,0.05,38.85,"2,06,966","-17,981","41,658"
23000.00,319,286,325,-,"1,644.25",-34.75,450,"1,646.85","1,655.60",75,21-Aug-25,"35,400",2.15,2.2,300,-1.3,2.2,21.36,"61,591","12,682","27,575"
23000.00,"12,715",-191,606,-,"1,675.00",-40.85,75,"1,672.00","1,680.00",75,28-Aug-25,"1,125",6.85,7.1,375,-0.3,6.85,18.16,"19,987",-191,"31,589"
23000.00,-,-,-,-,-,-,-,-,-,-,2-Sep-25,375,11.1,11.7,225,-0.15,11.25,17.18,491,240,666
23000.00,-,-,-,-,-,-,-,-,-,-,9-Sep-25,300,16,16.5,675,-1.7,15.75,16.08,193,143,164
23000.00,"6,212",327,434,-,"1,835.35",-30.2,150,"1,827.30","1,838.95",75,30-Sep-25,75,39.8,40.65,75,0.25,39.8,15.23,"8,845",-907,"29,819"
23000.00,84,15,16,-,"1,960.00",-42.6,75,"1,947.70","2,002.80",150,28-Oct-25,225,74.65,76,225,1.65,75,15.08,"2,271",674,"3,218"
23000.00,"6,186",-92,487,-,"2,302.35",-21,75,"2,290.00","2,299.00",75,30-Dec-25,225,148.3,148.9,300,6.4,148.9,15.47,"2,680",370,"27,864"
23000.00,-,-,-,-,-,-,-,-,-,-,31-Mar-26,75,233.3,237.7,150,7.9,237.7,16.2,132,25,"1,124"
23000.00,-,-,-,-,-,-,-,-,-,-,30-Jun-26,150,299.55,336.3,75,-3.55,316.45,17.04,22,-22,132
23000.00,65,-,-,-,"4,490.00",-,75,"3,200.00","4,099.95",75,29-Dec-26,"1,050",450,465,75,0.45,450,18.62,20,14,458
23000.00,-,-,-,-,-,-,-,-,-,-,28-Dec-27,75,500.15,-,-,-,505,-,-,-,27
23000.00,-,-,-,-,-,-,-,-,-,-,26-Dec-28,75,301.1,-,-,-,670,-,-,-,39
23000.00,-,-,-,-,-,-,-,-,-,-,24-Dec-29,-,-,-,-,-,670,-,-,-,25
23000.00,-,-,-,-,-,-,-,-,-,-,25-Jun-30,75,341.35,-,-,-,-,-,-,-,-
25000.00,"1,24,068","-87,344","23,83,002",9.7,0.05,-2.15,-,-,0.05,"3,77,625",14-Aug-25,75,368.45,368.95,75,10.55,368.45,-,"39,134","-3,740","3,990"
25000.00,"65,146","31,251","2,97,872",10.3,32.2,-5.2,150,32.25,32.45,75,21-Aug-25,150,378,380,525,27.35,379.2,11.53,"19,791","4,431","11,257"
25000.00,"91,040",119,"88,323",9.69,76,-11.85,975,77.5,77.75,75,28-Aug-25,525,398,400,450,27.25,398,11.66,"17,960","-1,841","42,033"
25000.00,"2,337","1,073","3,568",9.59,116,-10.25,75,112.8,115.4,75,2-Sep-25,75,406.1,411,225,24.55,405.55,11.51,235,112,300
25000.00,433,88,409,9.57,160.3,-13.45,300,160.3,164.45,75,9-Sep-25,75,420.65,443.85,300,21.4,418.4,11.56,101,21,127
25000.00,"22,241",876,"9,890",9.41,301.05,-19.2,525,301.05,301.8,225,30-Sep-25,75,479.7,482.2,150,18.85,482.2,12.75,"6,795","-1,627","22,511"
25000.00,"3,399",-25,"1,234",9.1,469.45,-17.15,75,467.35,471.3,75,28-Oct-25,150,532.6,537.7,150,20.75,534,13.39,"2,548","1,168","4,402"
25000.00,"18,867",202,"2,112",8.35,816.95,-18.4,"1,875",816.55,819.9,75,30-Dec-25,300,609.4,611.85,75,22.9,612,14.35,"3,142",-126,"30,247"
25000.00,"1,395",396,712,6.73,"1,268.55",2.7,75,"1,264.35","1,292.15",75,31-Mar-26,75,671,680,75,16.2,680,15.29,839,468,"2,160"
25000.00,14,-,-,-,"1,700.00",-,75,"1,543.60","1,769.60",75,30-Jun-26,75,730,780,75,-7.6,730,16.1,6,6,235
25000.00,466,1,7,-,"2,540.00",-2,75,"2,482.05","2,539.95",75,29-Dec-26,75,935,938.5,75,-5.9,928.85,18.84,105,83,"1,012"
25000.00,1,-,-,-,"4,575.00",-,75,"2,000.10","5,999.85",75,28-Dec-27,75,970.15,-,-,-,"1,090.00",-,-,-,5
25000.00,-,-,-,-,-,-,-,-,-,-,26-Dec-28,75,950.1,"1,399.00",150,-,"1,370.00",-,-,-,40
25000.00,-,-,-,-,-,-,-,-,-,-,24-Dec-29,75,790.1,-,-,-,-,-,-,-,-
25000.00,-,-,-,-,-,-,-,-,-,-,25-Jun-30,75,551.35,-,-,-,-,-,-,-,-
26000.00,"34,374","-14,580","2,66,155",31.36,0.05,-0.4,-,-,0.05,"2,85,900",14-Aug-25,75,"1,367.60","1,368.85",75,12.75,"1,369.00",-,281,-203,235
26000.00,"59,084","38,267","1,27,299",15.59,1.3,-0.15,"16,350",1.3,1.35,"5,625",21-Aug-25,150,"1,343.40","1,349.05",75,35.5,"1,345.00",21.45,439,381,841
26000.00,"54,803","-13,919","48,950",12.49,4.25,-1.45,"9,375",4.25,4.3,"3,075",28-Aug-25,75,"1,317.40","1,323.80",75,41.05,"1,320.00",18.87,769,-255,"17,910"
26000.00,"1,776",550,"1,303",12.05,9.9,-0.4,75,9.65,9.9,75,2-Sep-25,-,-,-,-,-,-,-,-,-,-
26000.00,172,98,265,10.95,16.05,0.05,75,15.8,16,"1,575",9-Sep-25,-,-,-,-,-,-,-,-,-,-
26000.00,"31,390",418,"18,192",9.87,51.8,-2.75,"1,800",51.8,52.4,450,30-Sep-25,225,"1,219.10","1,226.00",150,39.3,"1,226.75",15.24,547,55,"8,583"
26000.00,"6,260",234,"2,729",9.41,128.4,-4.45,75,127.5,128.6,225,28-Oct-25,300,"1,134.15","1,188.15",375,35.05,"1,167.90",14.44,29,-10,161
26000.00,"35,686","1,739","5,182",9.2,375.4,-9.45,75,375.4,377.25,150,30-Dec-25,225,"1,137.35","1,149.50",75,25.75,"1,137.25",14.99,"1,040",243,"18,995"
26000.00,"2,082",172,414,8.25,743.05,3.85,150,735.55,746.85,150,31-Mar-26,225,"1,095.50","1,114.00",75,22.8,"1,105.00",15.51,344,234,518
26000.00,42,-,-,-,"1,100.00",-,75,"1,103.00","1,140.00",150,30-Jun-26,75,"1,120.00","1,178.25",150,-,"1,201.00",-,-,-,40
26000.00,125,6,12,-,"1,906.00",-4,75,"1,870.80","1,909.20",75,29-Dec-26,75,"1,240.00","1,289.95",75,-,"1,235.00",18.75,19,2,708
26000.00,-,-,-,-,-,-,-,-,-,-,29-Jun-27,"1,800",34.2,-,-,-,-,-,-,-,-
26000.00,-,-,-,-,-,-,-,-,-,-,28-Dec-27,75,"1,150.15",-,-,-,"1,100.00",-,-,-,3
26000.00,-,-,-,-,-,-,-,-,-,-,26-Dec-28,75,801.45,-,-,-,-,-,-,-,-
26000.00,-,-,-,-,-,-,-,-,-,-,26-Jun-29,-,-,-,-,-,"1,391.75",-,-,-,0
26000.00,-,-,-,-,-,-,-,-,-,-,28-Jun-29,-,-,-,-,-,-,-,-,-,0
26000.00,-,-,-,-,-,-,-,-,-,-,25-Jun-30,75,671.35,-,-,-,-,-,-,-,-
27000.00,"19,309","-5,074","78,971",51.1,0.05,-0.25,-,-,0.05,"3,16,950",14-Aug-25,75,"2,366.60","2,370.45",75,3.45,"2,365.25",-,96,-38,77
27000.00,"14,901",-313,"2,332",17.94,1.7,-0.25,75,1.5,1.7,600,28-Aug-25,150,"2,310.70","2,319.95",75,34.25,"2,310.00",27.68,85,-20,"9,348"
27000.00,"17,905",137,"2,642",11.8,12.65,-0.55,225,12.25,12.6,225,30-Sep-25,75,"2,159.20","2,172.25",75,23.25,"2,145.25",19.13,139,25,"5,392"
27000.00,"24,843",98,"3,112",9.71,147.3,-2.2,375,145.1,147.5,300,30-Dec-25,75,"1,894.40","1,901.65",75,40.85,"1,894.50",17.15,588,4,"10,235"
27000.00,"2,805",183,576,8.58,370,3.65,75,368.8,370,"1,800",31-Mar-26,150,705,"3,443.60",75,-,"1,500.05",-,-,-,1
27000.00,-,-,-,-,-,-,75,89,-,-,30-Jun-26,-,-,-,-,-,-,-,-,-,-
27000.00,481,-,1,6.39,"1,389.10",-22.3,75,"1,383.80","1,426.55",75,29-Dec-26,75,"1,656.00","1,698.95","1,500",19.3,"1,695.00",19.54,2,1,234
27000.00,-,-,-,-,-,-,-,-,-,-,29-Jun-27,"1,800",35.4,-,-,-,-,-,-,-,-
27000.00,-,-,-,-,-,-,-,-,-,-,28-Dec-27,75,"1,151.25",-,-,-,"2,492.45",-,-,-,1
27000.00,-,-,-,-,-,-,-,-,-,-,27-Jun-28,"1,800",56.15,-,-,-,-,-,-,-,-
27000.00,-,-,-,-,-,-,-,-,-,-,26-Dec-28,75,961.45,-,-,-,-,-,-,-,-
27000.00,-,-,-,-,-,-,-,-,-,-,24-Dec-29,"1,800",36.15,-,-,-,-,-,-,-,-
27000.00,-,-,-,-,-,-,-,-,-,-,25-Jun-30,75,821.35,-,-,-,-,-,-,-,-
